fname,n_annotators,consolidated_weapons,consolidated_ammo,ammo_conflicts,annotator_ליאור_weapons,annotator_ליאור_ammo,annotator_איתי_weapons,annotator_איתי_ammo,annotator_רותם_weapons,annotator_רותם_ammo,annotator_חן_weapons,annotator_חן_ammo
SH-16-11-7544-55,2,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 10.0}]",,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]",,,,
SH-16-2-10948-419,2,אקדח,[],,אקדח,[],אקדח,[],,,,
SH-16-4-30406-325,2,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 2.0}, {""kind"": ""bullets"", ""amount"": 0.0}]",,,,,,תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}]",תת מקלע מאולתר,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}]"
SH-16-5-42991-439,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 13.0}]",,,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 13, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 13, ""raw_unit"": ""כדורים""}]"
SH-16-9-33552-535,2,"אקדח, רובה סער מאולתר","[{""kind"": ""magazines"", ""amount"": 2.0}, {""kind"": ""bullets"", ""amount"": 4.0}]","bullets: [0.0, 4.0, 60.0, 0.0, 4.0, 60.0]",,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 4, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 60, ""raw_unit"": ""כדורים""}]","אקדח, רובה סער מאולתר","[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 4, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 60, ""raw_unit"": ""כדורים""}]"
SH-17-10-10556-234,1,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 10.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]",,,,,,
SH-17-11-53539-235,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 2.0}]","bullets: [0.0, 28.0, 0.0, 28.0, 2.0]",,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 28, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 28, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 2, ""raw_unit"": ""קליעי ספוג""}]"
SH-17-4-19242-11,2,רובה סער ,"[{""kind"": ""magazines"", ""amount"": 2.0}, {""kind"": ""bullets"", ""amount"": 0.0}]",,,,,,רובה סער ,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""קליעים""}]",רובה סער ,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}]"
SH-17-8-47445-166,2,"אקדח, תת מקלע מאולתר",[],,,,,,"אקדח, תת מקלע מאולתר",[],אקדח,[]
SH-18-6-11098-353,2,רובה סער ,"[{""kind"": ""magazines"", ""amount"": 1.0}]",,רובה סער ,"[{""kind"": ""magazines"", ""amount"": 0, ""raw_unit"": ""מחסניות""}]",רובה סער ,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסניות""}]",,,,
SH-18-7-52337-770,2,תת מקלע מאולתר,[],,,,,,תת מקלע מאולתר,[],תת מקלע מאולתר,[]
SH-19-7-60805-168,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 10.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]",,,,
SH-20-2-52091-995,2,"תת מקלע, תת מקלע מאולתר","[{""kind"": ""bullets"", ""amount"": 20.0}]",,תת מקלע מאולתר,"[{""kind"": ""bullets"", ""amount"": 20, ""raw_unit"": ""כדורים""}]",תת מקלע,"[{""kind"": ""bullets"", ""amount"": 20, ""raw_unit"": ""כדורים""}]",,,,
SH-23-3-19819-247,2,רובה סער ,"[{""kind"": ""magazines"", ""amount"": 3.0}]",,רובה סער ,"[{""kind"": ""magazines"", ""amount"": 3, ""raw_unit"": ""מחסניות""}]",רובה סער ,"[{""kind"": ""magazines"", ""amount"": 3, ""raw_unit"": ""מחסנית""}]",,,,
SH-9-5-9349-998,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}, {""kind"": ""bullets"", ""amount"": 26.0}]","bullets: [0.0, 26.0, 0.0, 26.0]",,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 26, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""bullets"", ""amount"": 26, ""raw_unit"": ""כדורים""}]"
m01008097-376,2,רימון רסס,"[{""kind"": ""bullets"", ""amount"": 2.0}, {""kind"": ""magazines"", ""amount"": 1.0}]",,,,,,רימון רסס,"[{""kind"": ""bullets"", ""amount"": 2, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסניות""}]",רימון רסס,"[{""kind"": ""bullets"", ""amount"": 2, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסניות""}]"
m07001074-98,2,תת מקלע,"[{""kind"": ""magazines"", ""amount"": 0.0}, {""kind"": ""bullets"", ""amount"": 0.0}]","magazines: [2.0, 0.0, 0.0]",תת מקלע,"[{""kind"": ""magazines"", ""amount"": 2, ""raw_unit"": ""מחסניות""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}]",תת מקלע,"[{""kind"": ""magazines"", ""amount"": 0, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 0, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 0, ""raw_unit"": ""כדורים""}]",,,,
m08000207-175,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 10.0}, {""kind"": ""bullets"", ""amount"": 15.0}]","magazines: [15.0, 10.0, 1.0, 1.0]; bullets: [15.0, 10.0, 15.0, 10.0]",,,,,אקדח,"[{""kind"": ""magazines"", ""amount"": 15, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 15, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 10, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 15, ""raw_unit"": ""כדורים""}, {""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}, {""kind"": ""bullets"", ""amount"": 10, ""raw_unit"": ""כדורים""}]"
sh-10-5-7434-952,2,אקדח,"[{""kind"": ""magazines"", ""amount"": 1.0}]",,אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",אקדח,"[{""kind"": ""magazines"", ""amount"": 1, ""raw_unit"": ""מחסנית""}]",,,,
