cluster,label,n_member_names,n_reps,reps,cov_Hybrid-Manual,cov_Hybrid-Full,cov_GPT-Law,cov_GPT-Free,members
170,התנהגות במהלך המעצר,3,2,Hybrid-Manual|Hybrid-Full,3,3,0,0,התנהגות_במהלך_המעצר ; התנהלות_במהלך_המעצר ; התנהגות_במהלך_מעצר
576,יכולת_הנשק,2,2,GPT-Law|GPT-Free,0,0,3,3,יכולת_הנשק ; יכולת_הנשק_להזיק
27,מספר_אירועים,2,2,GPT-Law|GPT-Free,0,0,2,4,מספר_אירועים ; מדובר_במספר_אירועים
329,מיקום הבית,2,2,Hybrid-Manual|Hybrid-Full,3,3,0,0,מיקום_הבית ; מיקום_הדירה
669,מספר_אישומים,1,2,GPT-Law|GPT-Free,0,0,3,3,מספר_אישומים
228,מספר_עסקאות,2,2,GPT-Law|GPT-Free,0,0,4,2,מספר_עסקאות ; מספר_עסקאות_סחר
593,סוג_העבירה_העיקרית,1,2,GPT-Law|GPT-Free,0,0,4,2,סוג_העבירה_העיקרית
150,סוג הפעילות המשטרתית,2,2,Hybrid-Manual|Hybrid-Full,2,4,0,0,סוג_הפעילות_המשטרתית ; פעילות_משטרתית
125,שווי_העסקאות,4,2,GPT-Law|GPT-Free,0,0,3,3,שווי_העסקאות ; שווי_העסקה ; שווי_העסקה_הסופית ; שווי_עסקאות
362,האם_בוצע_תכנון_מוקדם,3,2,GPT-Law|GPT-Free,0,0,4,1,בוצע_תכנון_מוקדם ; בוצע_בתכנון_מוקדם ; בוצע_מעקב_או_תכנון_מוקדם
53,האם_בוצע_ירי,3,2,GPT-Law|GPT-Free,0,0,4,1,בוצע_ירי ; בוצע_ירי_במרחב_ציבורי ; בוצע_ירי_בציבור
19,האם_הייתה_סכנה_לחיי_אדם,2,2,GPT-Law|GPT-Free,0,0,3,2,הייתה_סכנה_לחיי_אדם ; היה_סיכון_לחיי_אדם
201,האם_היה_רישיון,2,2,GPT-Law|GPT-Free,0,0,3,2,היה_רישיון ; הייתה_רישיון
306,האם_הייתה_הובלת_נשק,4,2,GPT-Law|GPT-Free,0,0,4,1,הייתה_הובלת_נשק ; הייתה_הובלת_נשק_ותחמושת ; הייתה_העברת_נשק ; הייתה_השלכת_נשק
1312,האם_הנשק_היה_מוסתר,1,2,GPT-Law|GPT-Free,0,0,3,2,הנשק_היה_מוסתר
186,מועד_החזקה,2,2,GPT-Law|GPT-Free,0,0,2,3,מועד_החזקה ; מועד_סיום_ההחזקה
938,מחסנית,1,2,GPT-Law|GPT-Free,0,0,3,2,מחסנית
1,מקום_הסתרה,3,2,GPT-Law|GPT-Free,0,0,4,1,מקום_הסתרה ; מיקום_הסתרה ; מקום_הסתרת_התחמושת
1124,מניע,1,2,GPT-Law|GPT-Free,0,0,2,3,מניע
1076,מניע_הנאשם,1,2,GPT-Law|GPT-Free,0,0,4,1,מניע_הנאשם
518,מספר רישוי,1,2,Hybrid-Manual|Hybrid-Full,1,4,0,0,מספר_רישוי
36,נשיאת_הנשק,5,2,GPT-Law|GPT-Free,0,0,2,3,נשיאת_הנשק ; נשיאת_הנשק_במהלך_נסיעה ; נשיאת_הנשק_מחוץ_לבית ; נשיאת_נשק ; נשיאת_נשק_במהלך_נסיעה
104,סוג רובה,2,2,Hybrid-Manual|Hybrid-Full,2,3,0,0,סוג_רובה ; סוג_הרובה
58,פרטי הנשק,10,2,Hybrid-Manual|Hybrid-Full,3,2,0,0,פרטי_הנשק ; פרטי_הנשק_[כדורים_בערכה] ; פרטי_הנשק_[כדורים_לאקדח] ; פרטי_הנשק_[מחסנית] ; פרטי_הנשק_[ערכה_לניקוי] ; פרטי_הנשק_[רימוני_גז] ; פרטי_הנשק_[תת_מקלע] ; פרטי_הנשק_הנוסף ; פרטי_הנשק_הנוספים ; פרטי_הסתרת_הנשק
297,קוטר הכדורים,2,2,Hybrid-Manual|Hybrid-Full,2,3,0,0,קוטר_הכדורים ; קוטר_כדורים
653,קליבר האקדח,2,2,Hybrid-Manual|Hybrid-Full,2,3,0,0,קליבר_האקדח ; קליבר_אקדח
83,שימוש ברכב,3,2,GPT-Law|GPT-Free,0,0,1,4,שימוש_ברכב ; שימוש_ברכב_גנוב ; שימוש_ברכב_גנוב_לביצוע_עבירה
157,קשר_בין_הצדדים,3,2,GPT-Law|GPT-Free,0,0,2,2,קשר_בין_הצדדים ; אופי_הקשר_בין_הצדדים ; קשר_קודם_בין_הצדדים
7,אופן_ההשגה,2,2,GPT-Law|GPT-Free,0,0,3,1,אופן_ההשגה ; אופן_ההרשעה
1029,אמצעי_תחבורה,1,2,GPT-Law|GPT-Free,0,0,1,3,אמצעי_תחבורה
774,הודאה,1,2,GPT-Law|GPT-Free,0,0,1,3,הודאה
330,החזקת נשק,3,2,GPT-Law|GPT-Free,0,0,1,3,החזקת_נשק ; החזקה_ונשיאה_של_נשק ; החזקה_של_נשק_צבאי
272,התנהלות הנאשם לאחר האירוע,3,2,Hybrid-Manual|Hybrid-Full,3,1,0,0,התנהלות_הנאשם_לאחר_האירוע ; התנהלות_במהלך_האירוע ; התנהלות_הנאשם_במהלך_האירוע
237,מקום העצירה,2,2,Hybrid-Manual|Hybrid-Full,1,3,0,0,מקום_העצירה ; מיקום_העצירה
650,מספר_קליעים,1,2,GPT-Law|GPT-Free,0,0,2,2,מספר_קליעים
244,מקום עבודה,2,2,Hybrid-Manual|Hybrid-Full,2,2,0,0,מקום_עבודה ; מקום_העבודה
374,נוכחות_שוטרים,1,2,GPT-Law|GPT-Free,0,0,1,3,נוכחות_שוטרים
402,ניסיון_הימלטות,1,2,GPT-Law|GPT-Free,0,0,2,2,ניסיון_הימלטות
167,סוג הנשק הנוסף,2,2,Hybrid-Manual|Hybrid-Full,3,1,0,0,סוג_הנשק_הנוסף ; סוג_נשק_נוסף
341,סטטוס_הנאשם,3,2,GPT-Law|GPT-Free,0,0,1,3,סטטוס_הנאשם ; סטטוס_מגורים_של_הנאשם ; סטטוס_נאשם
1026,סכום החוב,1,2,Hybrid-Manual|Hybrid-Full,2,2,0,0,סכום_החוב
916,שותפים לאירוע,1,2,Hybrid-Full|GPT-Free,0,1,0,3,שותפים_לאירוע
85,שיבוש_הליכי_משפט,2,2,GPT-Law|GPT-Free,0,0,1,3,שיבוש_הליכי_משפט ; שיבוש_מהלכי_משפט
685,תאריך ושעה,1,2,Hybrid-Manual|GPT-Free,2,0,0,2,תאריך_ושעה
743,תמורה_כספית,1,2,GPT-Law|GPT-Free,0,0,3,1,תמורה_כספית
356,תמורה_עבור_הנשק,1,2,GPT-Law|GPT-Free,0,0,1,3,תמורה_עבור_הנשק
335,תקופת ביצוע העבירות,2,2,GPT-Law|GPT-Free,0,0,1,3,תקופת_ביצוע_העבירות ; תקופת_ביצוע_העבירה
1360,אופן גילוי,1,2,GPT-Law|GPT-Free,0,0,1,2,אופן_גילוי
288,האם_בוצע_ירי_לעבר_אדם,2,2,GPT-Law|GPT-Free,0,0,2,1,בוצע_ירי_לעבר_אדם ; בוצע_ירי_לעבר_אנשים
96,האם_בוצעה_הובלה_של_הנשק,3,2,GPT-Law|GPT-Free,0,0,2,1,בוצעה_הובלה_של_הנשק ; בוצעה_הסתרת_נשק ; בוצעה_השלכת_נשק
1034,בריחה_מהזירה,1,2,GPT-Law|GPT-Free,0,0,1,2,בריחה_מהזירה
115,מקום_החזקה_או_שימוש,2,2,GPT-Law|GPT-Free,0,0,2,1,מקום_החזקה_או_שימוש ; החזקה_או_שימוש
213,האם_החזקה_בבית,2,2,GPT-Law|GPT-Free,0,0,2,1,החזקה_בבית ; החזקה_הייתה_בבית
144,החזקת_נשק_ללא_רישיון,2,2,GPT-Law|GPT-Free,0,0,1,2,החזקת_נשק_ללא_רישיון ; החזקת_הנשק_ברישיון
575,האם_היה_רישיון_נהיגה,2,2,GPT-Law|GPT-Free,0,0,2,1,היה_רישיון_נהיגה ; היה_רישיון_נהיגה_בתוקף
218,האם_הנאשם_הוביל_את_הנשק,2,2,GPT-Law|GPT-Free,0,0,2,1,הנאשם_הוביל_את_הנשק ; הנאשם_הוביל_את_המשטרה_לנשק
9,האם_הנשק_הוחזק_ברישיון,3,2,GPT-Law|GPT-Free,0,0,2,1,הנשק_הוחזק_ברישיון ; הנשק_הוחזק_ללא_רישיון ; הנשק_הוחזק_ללא_רשיון
16,האם_הנשק_הועבר_לאחר,3,2,GPT-Law|GPT-Free,0,0,2,1,הנשק_הועבר_לאחר ; העביר_נשק_לאחר ; העברת_נשק_לאחר
530,העברת_הנשק,2,2,Hybrid-Full|GPT-Free,0,1,0,2,העברת_הנשק ; העברת_נשק
766,הפרעה_לשוטר,1,2,GPT-Law|GPT-Free,0,0,2,1,הפרעה_לשוטר
280,הקשר לאירוע,2,2,Hybrid-Full|GPT-Free,0,2,0,1,הקשר_לאירוע ; הקשר_לאירועים_אחרים
0,התנהגות הנאשם בעת המעצר,2,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,התנהגות_הנאשם_בעת_המעצר ; תיאור_התנהגות_הנאשם_בעת_המעצר
26,זיהוי הנאשם,2,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,זיהוי_הנאשם ; זיהוי_נאשמים
220,זמן העסקה,2,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,זמן_העסקה ; זמן_הגעה_למקום_העסקה
293,ירי_באזור_מגורים,2,2,GPT-Law|GPT-Free,0,0,1,2,ירי_באזור_מגורים ; ירי_באוויר_באזור_מגורים
93,מחיר נשק קרל גוסטב,2,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,מחיר_נשק_קרל_גוסטב ; מחיר_מכירה_נשק_קרל_גוסטב_לחרוב
284,מיקום החבייה,2,2,Hybrid-Manual|Hybrid-Full,1,2,0,0,מיקום_החבייה ; מקום_החבייה
600,מקום התפיסה,2,2,Hybrid-Manual|GPT-Free,2,0,0,1,מקום_התפיסה ; מיקום_התפיסה
315,מיקום זריקת הרימון,3,2,Hybrid-Manual|Hybrid-Full,1,2,0,0,מיקום_זריקת_הרימון ; מיקום_זריקת_השקית ; מקום_זריקת_הרימון
299,מיקום פגיעות הירי,3,2,Hybrid-Manual|Hybrid-Full,1,2,0,0,מיקום_פגיעות_הירי ; מיקום_פגיעות_היריות ; מיקום_פגיעת_הירי
892,מניע_נטען,1,2,GPT-Law|GPT-Free,0,0,1,2,מניע_נטען
863,מספר_רימונים,1,2,GPT-Law|GPT-Free,0,0,2,1,מספר_רימונים
119,מצב המחסנית,2,2,Hybrid-Manual|GPT-Free,2,0,0,1,מצב_המחסנית ; מצב_המחסנית_הנוספת
696,נוכחות_אחרים,1,2,GPT-Law|GPT-Free,0,0,1,2,נוכחות_אחרים
1208,נסיבות_החזקה,1,2,GPT-Law|GPT-Free,0,0,1,2,נסיבות_החזקה
190,נסיבות_החזקת_הנשק,3,2,GPT-Law|GPT-Free,0,0,1,2,נסיבות_החזקת_הנשק ; נסיבות_מציאת_הנשק ; נסיבות_רכישת_הנשק
163,סטטוס_רישוי_נהיגה,3,2,Hybrid-Manual|GPT-Free,1,0,0,2,סטטוס_רישוי_נהיגה ; סטטוס_רישיון_הנהיגה ; סטטוס_רישיון_נהיגה
224,עבירות_עיקריות,2,2,GPT-Law|GPT-Free,0,0,2,1,עבירות_עיקריות ; עבירה_עיקרית
290,פגיעה_בגוף,1,2,GPT-Law|GPT-Free,0,0,1,2,פגיעה_בגוף
179,פעולת השוטר,3,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,פעולת_השוטר ; פעולת_השוטר_רועי ; פעולת_השוטרים
539,קליבר הכדורים,1,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,קליבר_הכדורים
923,קליבר התחמושת,1,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,קליבר_התחמושת
408,קרבה משפחתית,2,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,קרבה_משפחתית ; קרבת_משפחה
97,קשר עם קרוב משפחה,2,2,Hybrid-Manual|Hybrid-Full,1,2,0,0,קשר_עם_קרוב_משפחה ; קשר_משפחתי
1261,רכב_מעורב,1,2,GPT-Law|GPT-Free,0,0,1,2,רכב_מעורב
198,שותף לעבירה,2,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,שותף_לעבירה ; שותף_לעבירות
203,שיטת הובלת הנשק,2,2,Hybrid-Manual|Hybrid-Full,1,2,0,0,שיטת_הובלת_הנשק ; שיטת_העברת_הנשק
279,שם הקונה,3,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,שם_הקונה ; שם_הקונה_השלישי ; שם_הקונה_השני
346,שנות_ביצוע,1,2,GPT-Law|GPT-Free,0,0,1,2,שנות_ביצוע
435,תאריך העסקה,1,2,Hybrid-Manual|Hybrid-Full,1,2,0,0,תאריך_העסקה
84,תאריך לידה הנאשם,2,2,Hybrid-Manual|Hybrid-Full,2,1,0,0,תאריך_לידה_הנאשם ; תאריך_לידה
517,תגובה_לשוטרים,1,2,GPT-Law|GPT-Free,0,0,1,2,תגובה_לשוטרים
232,תחמושת_נתפסת,2,2,GPT-Law|GPT-Free,0,0,2,1,תחמושת_נתפסת ; תחמושת_שנתפסה
143,תיאור האירוע,2,2,Hybrid-Manual|Hybrid-Full,1,2,0,0,תיאור_האירוע ; תיאור_האירוע_המזויף
985,אביזרים_נלווים,1,2,GPT-Law|GPT-Free,0,0,1,1,אביזרים_נלווים
187,אופי_העסקאות,2,2,GPT-Law|GPT-Free,0,0,1,1,אופי_העסקאות ; אופי_העסקה
1299,אופן האחסון ברכב,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,אופן_האחסון_ברכב
835,אופן_הבריחה,1,2,GPT-Law|GPT-Free,0,0,1,1,אופן_הבריחה
1123,אופן_הנטילה,1,2,GPT-Law|GPT-Free,0,0,1,1,אופן_הנטילה
735,אופן_הסלקה,1,2,GPT-Law|GPT-Free,0,0,1,1,אופן_הסלקה
1256,אופן השימוש בנשק,1,2,Hybrid-Manual|GPT-Free,1,0,0,1,אופן_השימוש_בנשק
1103,איסוף תרמילים,1,2,Hybrid-Manual|GPT-Free,1,0,0,1,איסוף_תרמילים
1303,אמצעי_תשלום,1,2,GPT-Law|GPT-Free,0,0,1,1,אמצעי_תשלום
6,האם בוצע הירי גם מחוץ לרכב,4,2,GPT-Law|GPT-Free,0,0,1,1,בוצע_הירי_גם_מחוץ_לרכב ; בוצע_הירי_מתוך_רכב ; בוצע_ירי_לכיוון_רכב_אחר ; בוצע_ירי_מתוך_רכב
510,האם_בוצע_שימוש_בנשק,2,2,GPT-Law|GPT-Free,0,0,1,1,בוצע_שימוש_בנשק ; בוצע_שימוש_בנשק_מאולתר
756,האם בוצעה נהיגה בזמן פסילה,2,2,GPT-Law|GPT-Free,0,0,1,1,בוצעה_נהיגה_בזמן_פסילה ; בוצעה_עבירת_נהיגה_בזמן_פסילה
248,האם בוצעה נהיגה ללא רישיון בתוקף,2,2,GPT-Law|GPT-Free,0,0,1,1,בוצעה_נהיגה_ללא_רישיון_בתוקף ; בוצעה_עבירת_נהיגה_ללא_רישיון
1171,בריחה_מהמשטרה,1,2,GPT-Law|GPT-Free,0,0,1,1,בריחה_מהמשטרה
1027,הבטחת נשק נוסף,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,הבטחת_נשק_נוסף
747,הודאה בביצוע המעשים,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,הודאה_בביצוע_המעשים
66,האם_החזקה_בצוותא,2,2,GPT-Law|GPT-Free,0,0,1,1,החזקה_בצוותא ; החזקה_היתה_בצוותא
217,החזקת הנשק בדירה,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,החזקת_הנשק_בדירה ; מיקום_החזקת_הנשק_בדירה
1035,החזקת_סם,1,2,GPT-Law|GPT-Free,0,0,1,1,החזקת_סם
109,האם_הייתה_בריחה_מהזירה,2,2,GPT-Law|GPT-Free,0,0,1,1,הייתה_בריחה_מהזירה ; הייתה_בריחה_מהמקום
54,האם_הייתה_התחמקות_משוטרים,2,2,GPT-Law|GPT-Free,0,0,1,1,הייתה_התחמקות_משוטרים ; היתה_בריחה_או_התחמקות_משוטרים
719,האם_הייתה_לוחית_רישוי_מזויפת,1,2,GPT-Law|GPT-Free,0,0,1,1,הייתה_לוחית_רישוי_מזויפת
642,האם_הייתה_מחסנית,2,2,GPT-Law|GPT-Free,0,0,1,1,הייתה_מחסנית ; הייתה_מחסנית_נוספת
763,היכרות עם הנאסר,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,היכרות_עם_הנאסר
283,האם_הנשק_נטען,2,2,GPT-Law|GPT-Free,0,0,1,1,הנשק_נטען ; נשק_נטען
159,האם_הסם_הוחזק_לצריכה_עצמית,2,2,GPT-Law|GPT-Free,0,0,1,1,הסם_הוחזק_לצריכה_עצמית ; הסם_היה_לצריכה_עצמית
1184,התערבות צד שלישי,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,התערבות_צד_שלישי
599,התקשרות עם צד שלישי,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,התקשרות_עם_צד_שלישי
787,זהות הנפגע,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,זהות_הנפגע
1230,זהות_הקונה,1,2,GPT-Law|GPT-Free,0,0,1,1,זהות_הקונה
1257,זיכרון הנאשם,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,זיכרון_הנאשם
514,חוסר רישיון נשק,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,חוסר_רישיון_נשק
249,יעד ההובלה,2,2,GPT-Law|GPT-Free,0,0,1,1,יעד_ההובלה ; יעד_הובלה
120,כוונה בעת הירי,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,כוונה_בעת_הירי ; כוונת_הירי
803,כוונה_פלילית,1,2,GPT-Law|GPT-Free,0,0,1,1,כוונה_פלילית
1075,כוח הכדור,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,כוח_הכדור
1167,כמות קנאביס,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,כמות_קנאביס
79,כתובת ביצוע העבירה,2,2,GPT-Law|GPT-Free,0,0,1,1,כתובת_ביצוע_העבירה ; כתובת_העבירה
394,כתובת האירוע,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,כתובת_האירוע
676,מודל הנשק,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מודל_הנשק ; מודלי_הנשק
371,מועד_אירוע_מרכזי,2,2,GPT-Law|GPT-Free,0,0,1,1,מועד_אירוע_מרכזי ; מועד_תפיסה_או_אירוע_מרכזי
260,מחיר רכישה תת מקלע,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מחיר_רכישה_תת_מקלע ; מחיר_תת_מקלע
1341,מטרת_החזקת_הסם,1,2,GPT-Law|GPT-Free,0,0,1,1,מטרת_החזקת_הסם
1109,מטרת הנשיאה,1,2,Hybrid-Manual|GPT-Free,1,0,0,1,מטרת_הנשיאה
117,מיקום המפגשים,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מיקום_המפגשים ; מיקום_הפגישות
483,מיקום_הפציעה,1,2,GPT-Law|GPT-Free,0,0,1,1,מיקום_הפציעה
1394,מיקום ישיבת א' במאזדה,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מיקום_ישיבת_א'_במאזדה
609,מיקום ישיבת ג'יהאד ברכב,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מיקום_ישיבת_ג'יהאד_ברכב
762,מיקום ישיבת מוחמד פעאור במאזדה,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מיקום_ישיבת_מוחמד_פעאור_במאזדה
210,מיקום פיגוע ירי,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מיקום_פיגוע_ירי ; מיקום_פיגוע_ירי_חרוב
158,מיקום קבלת הנשק,2,2,Hybrid-Manual|GPT-Free,1,0,0,1,מיקום_קבלת_הנשק ; מקום_קבלת_הנשק
1216,מספר לוחית רישוי,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מספר_לוחית_רישוי
464,מספר סידורי של הרימון,1,2,Hybrid-Manual|GPT-Free,1,0,0,1,מספר_סידורי_של_הרימון
775,מספר פגיעות,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מספר_פגיעות
1189,מספר_שותפים,1,2,GPT-Law|GPT-Free,0,0,1,1,מספר_שותפים
1381,מעורבות צד שלישי,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מעורבות_צד_שלישי
936,מצב הנאשם בזמן האירוע,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מצב_הנאשם_בזמן_האירוע
1269,מצב הנשק בעת המעצר,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מצב_הנשק_בעת_המעצר
842,מצב לוחית רישוי,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מצב_לוחית_רישוי
553,מקום הרכישה,1,2,Hybrid-Full|GPT-Law,0,1,1,0,מקום_הרכישה
449,מקום השימוש בנשק,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מקום_השימוש_בנשק
697,מקום תפיסת הסם,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מקום_תפיסת_הסם
1158,מרחק החזקת הנשק מהבית,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,מרחק_החזקת_הנשק_מהבית
312,משך אשפוז המתלונן,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,משך_אשפוז_המתלונן
377,משך_החזקה_בידי_הנאשם,2,2,GPT-Law|GPT-Free,0,0,1,1,משך_החזקה_בידי_הנאשם ; משך_החזקה_על_ידי_הנאשם
692,משך זמן החזקת הנשק לפני המעצר,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,משך_זמן_החזקת_הנשק_לפני_המעצר
893,נהיגה_ללא_ביטוח,1,2,GPT-Law|GPT-Free,0,0,1,1,נהיגה_ללא_ביטוח
818,נהיגה_ללא_רישיון,1,2,GPT-Law|GPT-Free,0,0,1,1,נהיגה_ללא_רישיון
989,נהיגה_תחת_השפעת_אלכוהול,1,2,GPT-Law|GPT-Free,0,0,1,1,נהיגה_תחת_השפעת_אלכוהול
202,נזק לרכוש,2,2,Hybrid-Full|GPT-Law,0,1,1,0,נזק_לרכוש ; נזק_רכוש
1115,ניסיון_הצתה,1,2,GPT-Law|GPT-Free,0,0,1,1,ניסיון_הצתה
664,ניסיון למנוע את האירוע,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,ניסיון_למנוע_את_האירוע
331,נסיבות_הכניסה,2,2,GPT-Law|GPT-Free,0,0,1,1,נסיבות_הכניסה ; נסיבות_הכניסה_לבית
1274,נשק_מעורב,1,2,GPT-Law|GPT-Free,0,0,1,1,נשק_מעורב
360,סוג_אביזר,2,2,GPT-Law|GPT-Free,0,0,1,1,סוג_אביזר ; סוג_האביזר
846,סוג האירוע,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סוג_האירוע
164,סוג הכוונת על הנשק הראשון,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סוג_הכוונת_על_הנשק_הראשון ; סוג_הנשק_באירוע_הראשון
147,סוג_העסקה,2,2,GPT-Law|GPT-Free,0,0,1,1,סוג_העסקה ; סוגי_עסקאות
294,סוג_הרימונים,2,2,Hybrid-Full|GPT-Law,0,1,1,0,סוג_הרימונים ; סוגי_רימונים
582,סוג הרכב של המתלונן,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סוג_הרכב_של_המתלונן
1244,סוג רובה סער,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סוג_רובה_סער
197,סטטוס_העסקאות,1,2,GPT-Law|GPT-Free,0,0,1,1,סטטוס_העסקאות
286,סכום הכסף שנמצא על הנאשם,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סכום_הכסף_שנמצא_על_הנאשם ; סכום_כסף_נמצא
636,סכום_הכסף_שנתפס,1,2,GPT-Law|GPT-Free,0,0,1,1,סכום_הכסף_שנתפס
12,סכום_התמורה_עבור_הסם,3,2,GPT-Law|GPT-Free,0,0,1,1,סכום_התמורה_עבור_הסם ; שולמה_תמורה_עבור_הסם ; תמורה_עבור_הסם
73,סכום כסף גנוב,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סכום_כסף_גנוב ; סכום_כסף_נגנב
194,סכום שיק גנוב,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סכום_שיק_גנוב ; סכום_שיק_נגנב
468,סכום תשלום לעטאללה,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,סכום_תשלום_לעטאללה ; סכום_תשלום_סופי_לעטאללה
1292,סעיף העבירה העיקרית,2,2,GPT-Law|GPT-Free,0,0,1,1,סעיף_העבירה_העיקרית ; סעיף_עבירה_עיקרית
326,סעיף_חוק_עיקרי,2,2,GPT-Law|GPT-Free,0,0,1,1,סעיף_חוק_עיקרי ; סעיפי_חוק_עיקריים
121,סעיפי העבירות הנוספות,2,2,GPT-Law|GPT-Free,0,0,1,1,סעיפי_העבירות_הנוספות ; סעיפי_עבירות_נוספות
236,עבירות_בתיק_הנשק,2,2,GPT-Law|GPT-Free,0,0,1,1,עבירות_בתיק_הנשק ; עבירות_נשק
578,פגיעה_בפועל,2,2,GPT-Law|GPT-Free,0,0,1,1,פגיעה_בפועל ; פגיעה_פיזית_בפועל
368,פגיעה פוטנציאלית,2,2,Hybrid-Full|GPT-Free,0,1,0,1,פגיעה_פוטנציאלית ; פגיעה_פוטנציאלית_באדם
1202,פוטנציאל נזק,1,2,Hybrid-Manual|GPT-Free,1,0,0,1,פוטנציאל_נזק
59,פעולה במהלך האירוע,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,פעולה_במהלך_האירוע ; פעולות_הנאשם_במהלך_האירוע
114,פעולה לאחר הירי,2,2,Hybrid-Full|GPT-Free,0,1,0,1,פעולה_לאחר_הירי ; פעולה_לאחר_ירי
100,פעולות_שבוצעו,2,2,GPT-Law|GPT-Free,0,0,1,1,פעולות_שבוצעו ; פעולות_שבוצעו_בנשק
239,פעולת הנאשם בעת גילוי,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,פעולת_הנאשם_בעת_גילוי
491,פצעים,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,פצעים
478,צבע האקדח,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,צבע_האקדח
135,קוטר כדורים במחסנית,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,קוטר_כדורים_במחסנית ; קוטר_כדורים_במחסנית_שנייה
459,קוטר כדורים בתפזורת,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,קוטר_כדורים_בתפזורת
534,קורבן,1,2,Hybrid-Full|GPT-Free,0,1,0,1,קורבן
392,רישיון,1,2,GPT-Law|GPT-Free,0,0,1,1,רישיון
450,רכישת_הנשק,1,2,GPT-Law|GPT-Free,0,0,1,1,רכישת_הנשק
75,שימוש באחרים,2,2,GPT-Law|GPT-Free,0,0,1,1,שימוש_באחרים ; שימוש_במתווכים
544,שיתוף_פעולה_עם_המשטרה,1,2,GPT-Law|GPT-Free,0,0,1,1,שיתוף_פעולה_עם_המשטרה
1002,שם השוטר,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,שם_השוטר
543,שנת האירוע,2,2,GPT-Law|GPT-Free,0,0,1,1,שנת_האירוע ; שנת_האירועים
608,שנת העבירה,2,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,שנת_העבירה ; שנת_עבירה
850,שנת קבלת הנשק,1,2,Hybrid-Manual|Hybrid-Full,1,1,0,0,שנת_קבלת_הנשק
667,שעת המעצר,1,2,Hybrid-Manual|GPT-Free,1,0,0,1,שעת_המעצר
