fname,tagger_a,tagger_b,drugs_a,drugs_b,jaccard,agreement
SH-24-01-26596-264,איתי,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 26.94, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 20.03, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 40, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 1, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 20.03, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 26.94, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 40, ""unit"": ""גרם""}]",1.0,1
SH-24-01-26596-264,איתי,מור,"[{""drug"": ""קנבוס"", ""amount"": 26.94, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 20.03, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 40, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 20.03, ""unit"": ""גרם""}]",0.0,0
SH-24-01-26596-264,ליאור,מור,"[{""drug"": ""קנבוס"", ""amount"": 1, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 20.03, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 26.94, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 40, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 20.03, ""unit"": ""גרם""}]",0.0,0
SH-24-01-3818-394,גיא,ליאור,"[{""drug"": ""קנבוס"", ""amount"": 297, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 75.08, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 169, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 75.08, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 169, ""unit"": ""גרם""}]",1.0,1
SH-24-01-9804-702,איתי,ליאור,"[{""drug"": ""חשיש"", ""amount"": 498.37, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 536.36, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 91.25, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 56.16, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 85.93, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.86, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 300.96, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.99, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 9.83, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 29.76, ""unit"": ""גרם""}]","[{""drug"": ""חשיש"", ""amount"": 498.37, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 536.36, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 91.25, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 56.16, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.86, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 300.96, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.99, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 30, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 57, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 9.83, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 29.76, ""unit"": ""גרם""}]",1.0,1
SH-24-01-9804-702,איתי,גיא,"[{""drug"": ""חשיש"", ""amount"": 498.37, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 536.36, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 91.25, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 56.16, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 85.93, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.86, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 300.96, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.99, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 9.83, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 29.76, ""unit"": ""גרם""}]","[{""drug"": ""חשיש"", ""amount"": 498.37, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 536.36, ""unit"": ""גרם""}]",0.0,0
SH-24-01-9804-702,ליאור,גיא,"[{""drug"": ""חשיש"", ""amount"": 498.37, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 536.36, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 91.25, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 56.16, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.86, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 300.96, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.99, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 30, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 57, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 9.83, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 29.76, ""unit"": ""גרם""}]","[{""drug"": ""חשיש"", ""amount"": 498.37, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 536.36, ""unit"": ""גרם""}]",0.0,0
SH-24-05-28565-553,איתי,ליאור,"[{""drug"": ""קטמין"", ""amount"": 4.7903, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 4.5882, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 8.5067, ""unit"": ""גרם""}, {""drug"": ""מתילמטאקתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 4.7903, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 4.5882, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 8.5067, ""unit"": ""גרם""}, {""drug"": ""מתילמטאקתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}]",1.0,1
SH-24-05-28565-553,איתי,מור,"[{""drug"": ""קטמין"", ""amount"": 4.7903, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 4.5882, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 8.5067, ""unit"": ""גרם""}, {""drug"": ""מתילמטאקתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 14.3723, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 8.5067, ""unit"": ""גרם""}, {""drug"": ""מתילמקאתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}]",0.25,0
SH-24-05-28565-553,ליאור,מור,"[{""drug"": ""קטמין"", ""amount"": 4.7903, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 4.5882, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 8.5067, ""unit"": ""גרם""}, {""drug"": ""מתילמטאקתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}]","[{""drug"": ""קטמין"", ""amount"": 14.3723, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 8.5067, ""unit"": ""גרם""}, {""drug"": ""מתילמקאתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}]",0.25,0
SH-24-05-46424-585,איתי,גיא,"[{""drug"": ""קוקאין"", ""amount"": 4.7839, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 0.3896, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 5, ""unit"": ""יחידות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.8438, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 4.7839, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 0.3896, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 5, ""unit"": ""יחידות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.8438, ""unit"": ""גרם""}]",1.0,1
