fname,n_annotators,consolidated_drugs,quantity_conflicts,annotator_איתי,annotator_גיא,annotator_ליאור,annotator_טל,annotator_מור
SH-19-12-65763-975,1,"[{""drug"": ""קנבוס"", ""amount"": 100.0, ""unit"": ""גרם""}]","קנבוס: [(2.795, 'גרם'), (234.5, 'גרם'), (100.0, 'גרם'), (5.0, 'גרם')]",,"[{""drug"": ""קנבוס"", ""amount"": 2.795, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 234.5, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 100, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 5, ""unit"": ""גרם""}]",,,
SH-20-05-28746-251,2,"[{""drug"": ""קנבוס"", ""amount"": 15.0, ""unit"": ""גרם""}]","קנבוס: [(5.0, 'גרם'), (15.0, 'גרם'), (20.0, 'גרם')]",,"[{""drug"": ""קנבוס"", ""amount"": 5, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 15, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 20, ""unit"": ""גרם""}]",,
SH-20-06-12380-808,2,"[{""drug"": ""קנבוס"", ""amount"": 10.0, ""unit"": ""גרם""}]",,,,"[{""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}]",,"[{""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}]"
SH-21-02-40908-370,2,"[{""drug"": ""קוקאין"", ""amount"": 1.0, ""unit"": ""גרם""}]",,,"[{""drug"": ""קוקאין"", ""amount"": 1, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 0.05, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 1, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 0.05, ""unit"": ""גרם""}]",
SH-21-03-56850-36,1,"[{""drug"": ""קנבוס"", ""amount"": 30.1, ""unit"": ""גרם""}]","קנבוס: [(5.3, 'גרם'), (30.1, 'גרם'), (93.6, 'גרם')]",,"[{""drug"": ""קנבוס"", ""amount"": 5.3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 30.1, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 93.6, ""unit"": ""גרם""}]",,,
SH-21-03-7171-604,2,"[{""drug"": ""קוקאין"", ""amount"": 0.0882, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 0.0882, ""unit"": ""גרם""}]",,,,"[{""drug"": ""קוקאין"", ""amount"": 0.0882, ""unit"": ""גרם""}]"
SH-21-09-42879-201,2,"[{""drug"": ""MDMA"", ""amount"": 10.0, ""unit"": ""טבליות""}]",,"[{""drug"": ""MDMA"", ""amount"": 10, ""unit"": ""טבליות""}]",,,,"[{""drug"": ""MDMA"", ""amount"": 10, ""unit"": ""טבליות""}]"
SH-21-10-30884-544,1,"[{""drug"": ""קנבוס"", ""amount"": 10.0, ""unit"": ""גרם""}]","קנבוס: [(10.0, 'גרם'), (100.0, 'גרם'), (2.98, 'גרם')]",,,"[{""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 100, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.98, ""unit"": ""גרם""}]",,
SH-21-11-47780-86,1,"[{""drug"": ""קנבוס"", ""amount"": 28.0, ""unit"": ""גרם""}]",,,,,,"[{""drug"": ""קנבוס"", ""amount"": 28, ""unit"": ""גרם""}]"
SH-21-11-9851-17,2,"[{""drug"": ""קוקאין"", ""amount"": 24.96, ""unit"": ""גרם""}]","קוקאין: [(15.437, 'גרם'), (24.96, 'גרם'), (15.437, 'גרם'), (24.96, 'גרם')]","[{""drug"": ""קוקאין"", ""amount"": 15.437, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 24.96, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 15.437, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 24.96, ""unit"": ""גרם""}]",,,
SH-21-12-59578-330,3,"[{""drug"": ""קטמין"", ""amount"": 0.7926, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13.0, ""unit"": ""טבליות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.906, ""unit"": ""גרם""}]",,"[{""drug"": ""קטמין"", ""amount"": 0.7296, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13, ""unit"": ""טבליות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.906, ""unit"": ""גרם""}]",,"[{""drug"": ""קטמין"", ""amount"": 0.7926, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13, ""unit"": ""טבליות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.906, ""unit"": ""גרם""}]",,"[{""drug"": ""קטמין"", ""amount"": 0.7926, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 13, ""unit"": ""טבליות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.906, ""unit"": ""גרם""}]"
SH-22-01-16014-223,2,"[{""drug"": ""חשיש"", ""amount"": 31.0, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 11.0, ""unit"": ""טבליות""}]",,,"[{""drug"": ""חשיש"", ""amount"": 31, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 11, ""unit"": ""טבליות""}]","[{""drug"": ""חשיש"", ""amount"": 31, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 11, ""unit"": ""טבליות""}]",,
SH-22-05-36033-112,2,"[{""drug"": ""קנבוס"", ""amount"": 3.0, ""unit"": ""גרם""}]","קנבוס: [(3.0, 'גרם'), (4.78, 'גרם'), (2.0, 'גרם'), (3.0, 'גרם'), (4.78, 'גרם'), (2.0, 'גרם')]",,"[{""drug"": ""קנבוס"", ""amount"": 3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 4.78, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 4.78, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2, ""unit"": ""גרם""}]",,
SH-22-05-39259-133,2,"[{""drug"": ""קנבוס"", ""amount"": 15.75, ""unit"": ""גרם""}]",,,,"[{""drug"": ""קנבוס"", ""amount"": 15.75, ""unit"": ""גרם""}]",,"[{""drug"": ""קנבוס"", ""amount"": 15.75, ""unit"": ""גרם""}]"
SH-22-08-21724-809,1,"[{""drug"": ""קנבוס"", ""amount"": 300.0, ""unit"": ""גרם""}]",,,,,,"[{""drug"": ""קנבוס"", ""amount"": 300, ""unit"": ""גרם""}]"
SH-23-02-41988-839,2,"[{""drug"": ""קוקאין"", ""amount"": 14.85, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 2.8, ""unit"": ""גרם""}]","MDMA: [(17.0, 'יחידות'), (6.9, 'גרם'), (6.9, 'גרם')]",,,"[{""drug"": ""קטמין"", ""amount"": 2.8, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 6.9, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 14.85, ""unit"": ""גרם""}]",,"[{""drug"": ""MDMA"", ""amount"": 17, ""unit"": ""יחידות""}, {""drug"": ""MDMA"", ""amount"": 6.9, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 14.85, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 2.8, ""unit"": ""גרם""}]"
SH-23-03-20257-157,1,"[{""drug"": ""קנבוס"", ""amount"": 700.0, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 60.0, ""unit"": ""גרם""}]",,,,,,"[{""drug"": ""קנבוס"", ""amount"": 700, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 60, ""unit"": ""גרם""}]"
SH-23-07-61816-773,2,"[{""drug"": ""קוקאין"", ""amount"": 0.3798, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 0.3798, ""unit"": ""גרם""}]",,,,"[{""drug"": ""קוקאין"", ""amount"": 0.3798, ""unit"": ""גרם""}]"
SH-23-09-35299-260,3,"[{""drug"": ""קוקאין"", ""amount"": 0.28, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 0.28, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 0.28, ""unit"": ""גרם""}]",,"[{""drug"": ""קוקאין"", ""amount"": 0.28, ""unit"": ""גרם""}]"
SH-24-01-26596-264,3,"[{""drug"": ""קנבוס"", ""amount"": 20.03, ""unit"": ""גרם""}]","קנבוס: [(26.94, 'גרם'), (20.03, 'גרם'), (10.0, 'גרם'), (3.0, 'גרם'), (1.0, 'גרם'), (40.0, 'גרם'), (1.0, 'גרם'), (10.0, 'גרם'), (20.03, 'גרם'), (26.94, 'גרם'), (40.0, 'גרם'), (20.03, 'גרם')]","[{""drug"": ""קנבוס"", ""amount"": 26.94, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 20.03, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 40, ""unit"": ""גרם""}]",,"[{""drug"": ""קנבוס"", ""amount"": 1, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 10, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 20.03, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 26.94, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 40, ""unit"": ""גרם""}]",,"[{""drug"": ""קנבוס"", ""amount"": 20.03, ""unit"": ""גרם""}]"
SH-24-01-3818-394,2,[],"קנבוס: [(297.0, 'שתילים'), (75.08, 'ק""ג'), (169.0, 'גרם'), (75.08, 'גרם'), (169.0, 'גרם')]",,"[{""drug"": ""קנבוס"", ""amount"": 297, ""unit"": ""שתילים""}, {""drug"": ""קנבוס"", ""amount"": 75.08, ""unit"": ""ק\""ג""}, {""drug"": ""קנבוס"", ""amount"": 169, ""unit"": ""גרם""}]","[{""drug"": ""קנבוס"", ""amount"": 75.08, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 169, ""unit"": ""גרם""}]",,
SH-24-01-9804-702,3,"[{""drug"": ""חשיש"", ""amount"": 300.96, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 30.0, ""unit"": ""גרם""}]","חשיש: [(498.37, 'גרם'), (56.16, 'גרם'), (300.96, 'גרם'), (29.76, 'גרם'), (498.37, 'גרם'), (56.16, 'גרם'), (300.96, 'גרם'), (29.76, 'גרם'), (498.37, 'גרם')]; קנבוס: [(536.36, 'גרם'), (91.25, 'גרם'), (85.93, 'גרם'), (2.3, 'גרם'), (1.86, 'גרם'), (2.99, 'גרם'), (9.83, 'גרם'), (536.36, 'גרם'), (91.25, 'גרם'), (2.3, 'גרם'), (1.86, 'גרם'), (2.99, 'גרם'), (30.0, 'גרם'), (57.0, 'גרם'), (9.83, 'גרם'), (536.36, 'גרם')]","[{""drug"": ""חשיש"", ""amount"": 498.37, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 536.36, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 91.25, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 56.16, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 85.93, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.86, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 300.96, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.99, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 9.83, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 29.76, ""unit"": ""גרם""}]","[{""drug"": ""חשיש"", ""amount"": 498.37, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 536.36, ""unit"": ""גרם""}]","[{""drug"": ""חשיש"", ""amount"": 498.37, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 536.36, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 91.25, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 56.16, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.3, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 1.86, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 300.96, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 2.99, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 30, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 57, ""unit"": ""גרם""}, {""drug"": ""קנבוס"", ""amount"": 9.83, ""unit"": ""גרם""}, {""drug"": ""חשיש"", ""amount"": 29.76, ""unit"": ""גרם""}]",,
SH-24-05-28565-553,3,"[{""drug"": ""קטמין"", ""amount"": 4.7903, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 8.5067, ""unit"": ""גרם""}, {""drug"": ""מתילמטאקתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}, {""drug"": ""מתילמקאתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}]","קטמין: [(4.7903, 'גרם'), (4.5882, 'גרם'), (4.7903, 'גרם'), (4.5882, 'גרם'), (14.3723, 'גרם')]","[{""drug"": ""קטמין"", ""amount"": 4.7903, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 4.5882, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 8.5067, ""unit"": ""גרם""}, {""drug"": ""מתילמטאקתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}]",,"[{""drug"": ""קטמין"", ""amount"": 4.7903, ""unit"": ""גרם""}, {""drug"": ""קטמין"", ""amount"": 4.5882, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 8.5067, ""unit"": ""גרם""}, {""drug"": ""מתילמטאקתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}]",,"[{""drug"": ""קטמין"", ""amount"": 14.3723, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 8.5067, ""unit"": ""גרם""}, {""drug"": ""מתילמקאתינון"", ""amount"": 14.2733, ""unit"": ""גרם""}]"
SH-24-05-46424-585,2,"[{""drug"": ""קוקאין"", ""amount"": 4.7839, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 5.0, ""unit"": ""יחידות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.8438, ""unit"": ""גרם""}]","קוקאין: [(4.7839, 'גרם'), (0.3896, 'גרם'), (4.7839, 'גרם'), (0.3896, 'גרם')]","[{""drug"": ""קוקאין"", ""amount"": 4.7839, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 0.3896, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 5, ""unit"": ""יחידות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.8438, ""unit"": ""גרם""}]","[{""drug"": ""קוקאין"", ""amount"": 4.7839, ""unit"": ""גרם""}, {""drug"": ""קוקאין"", ""amount"": 0.3896, ""unit"": ""גרם""}, {""drug"": ""MDMA"", ""amount"": 5, ""unit"": ""יחידות""}, {""drug"": ""מתילמקאתינון"", ""amount"": 1.8438, ""unit"": ""גרם""}]",,,
